,Learning_rate,Training_accuracy,Testing_accuracy,Activation,pool
371,0.014285714285714284,97.8084,98.26,"['relu', 'leaky_relu', 'leaky_relu', 'celu', 'celu']","('max', 'avg')"
206,0.016666666666666666,97.4586,98.27,"['relu', 'leaky_relu', 'leaky_relu', 'leaky_relu', 'celu']","('avg', 'avg')"
36,0.018181818181818184,95.8018,98.27,"['relu', 'relu', 'relu', 'relu', 'leaky_relu']","('max', 'avg')"
40,0.018181818181818184,96.9082,98.27,"['relu', 'relu', 'leaky_relu', 'leaky_relu', 'leaky_relu']","('avg', 'avg')"
174,0.016666666666666666,97.4462,98.27,"['relu', 'relu', 'relu', 'rrelu', 'rrelu']","('max', 'avg')"
275,0.015384615384615384,97.2928,98.28,"['relu', 'relu', 'relu', 'relu', 'rrelu']","('max', 'max')"
962,0.011111111111111113,97.3948,98.28,"['relu', 'relu', 'rrelu', 'rrelu', 'rrelu']","('avg', 'avg')"
357,0.015384615384615384,97.611,98.28,"['relu', 'relu', 'rrelu', 'rrelu', 'rrelu']","('avg', 'avg')"
879,0.011111111111111113,97.4628,98.28,"['relu', 'rrelu', 'leaky_relu', 'leaky_relu', 'celu']","('avg', 'avg')"
1054,0.010526315789473684,97.3632,98.29,"['relu', 'relu', 'rrelu', 'leaky_relu', 'celu']","('avg', 'avg')"
1139,0.018182,97.5284,98.29,"['relu', 'relu', 'relu', 'rrelu', 'celu']","('avg', 'avg')"
8,0.018181818181818184,97.7094,98.29,"['relu', 'leaky_relu', 'leaky_relu', 'celu', 'celu']","('avg', 'avg')"
320,0.015384615384615384,97.15799999999999,98.3,"['relu', 'leaky_relu', 'leaky_relu', 'leaky_relu', 'leaky_relu']","('avg', 'avg')"
1073,0.010526315789473684,97.9598,98.3,"['relu', 'leaky_relu', 'celu', 'celu', 'celu']","('max', 'max')"
517,0.013333333333333334,97.3736,98.31,"['relu', 'relu', 'relu', 'relu', 'rrelu']","('max', 'max')"
181,0.016666666666666666,97.5098,98.31,"['leaky_relu', 'leaky_relu', 'leaky_relu', 'celu', 'celu']","('max', 'avg')"
423,0.014285714285714284,97.8698,98.32,"['leaky_relu', 'leaky_relu', 'leaky_relu', 'celu', 'celu']","('max', 'max')"
909,0.011111111111111113,97.8436,98.32,"['relu', 'relu', 'leaky_relu', 'celu', 'celu']","('max', 'avg')"
156,0.016666666666666666,97.2918,98.32,"['relu', 'relu', 'rrelu', 'celu', 'celu']","('avg', 'avg')"
899,0.011111111111111113,97.7168,98.33,"['leaky_relu', 'leaky_relu', 'celu', 'celu', 'celu']","('avg', 'avg')"
161,0.016666666666666666,97.1766,98.33,"['relu', 'relu', 'leaky_relu', 'leaky_relu', 'leaky_relu']","('avg', 'avg')"
536,0.013333333333333334,97.7106,98.33,"['leaky_relu', 'leaky_relu', 'celu', 'celu', 'celu']","('max', 'max')"
683,0.0125,96.7348,98.34,"['relu', 'leaky_relu', 'leaky_relu', 'leaky_relu', 'leaky_relu']","('max', 'max')"
25,0.018181818181818184,97.5382,98.35,"['relu', 'relu', 'rrelu', 'rrelu', 'celu']","('avg', 'avg')"
1181,0.018182,97.741,98.35,"['relu', 'relu', 'relu', 'celu', 'celu']","('max', 'avg')"
885,0.011111111111111113,97.3914,98.35,"['relu', 'relu', 'rrelu', 'rrelu', 'leaky_relu']","('avg', 'avg')"
171,0.016666666666666666,97.7662,98.35,"['relu', 'relu', 'relu', 'rrelu', 'celu']","('max', 'avg')"
788,0.011764705882352941,97.7656,98.35,"['relu', 'relu', 'leaky_relu', 'celu', 'celu']","('avg', 'avg')"
776,0.011764705882352941,97.6148,98.36,"['relu', 'relu', 'relu', 'rrelu', 'celu']","('max', 'max')"
475,0.014285714285714284,97.8202,98.36,"['relu', 'relu', 'leaky_relu', 'leaky_relu', 'celu']","('max', 'max')"
915,0.011111111111111113,97.3832,98.36,"['relu', 'relu', 'relu', 'rrelu', 'leaky_relu']","('max', 'max')"
304,0.015384615384615384,97.9658,98.36,"['relu', 'relu', 'leaky_relu', 'celu', 'celu']","('avg', 'avg')"
519,0.013333333333333334,97.7518,98.36,"['relu', 'relu', 'rrelu', 'celu', 'celu']","('avg', 'avg')"
280,0.015384615384615384,97.0394,98.36,"['relu', 'relu', 'rrelu', 'rrelu', 'leaky_relu']","('avg', 'avg')"
552,0.013333333333333334,96.7548,98.37,"['relu', 'relu', 'relu', 'rrelu', 'leaky_relu']","('max', 'avg')"
1113,0.018182,97.7518,98.37,"['leaky_relu', 'leaky_relu', 'leaky_relu', 'leaky_relu', 'celu']","('avg', 'avg')"
399,0.014285714285714284,97.2242,98.38,"['relu', 'relu', 'relu', 'relu', 'leaky_relu']","('avg', 'avg')"
1097,0.018182,97.8068,98.39,"['relu', 'leaky_relu', 'leaky_relu', 'celu', 'celu']","('avg', 'avg')"
1204,0.018182,97.40700000000001,98.39,"['relu', 'relu', 'rrelu', 'rrelu', 'rrelu']","('avg', 'avg')"
520,0.013333333333333334,96.9812,98.39,"['relu', 'relu', 'relu', 'relu', 'leaky_relu']","('max', 'avg')"
561,0.013333333333333334,96.8852,98.4,"['relu', 'relu', 'relu', 'leaky_relu', 'celu']","('max', 'avg')"
1166,0.018182,97.5956,98.4,"['relu', 'relu', 'relu', 'leaky_relu', 'celu']","('max', 'avg')"
319,0.015384615384615384,97.0218,98.4,"['relu', 'relu', 'relu', 'leaky_relu', 'celu']","('avg', 'avg')"
86,0.018181818181818184,97.3912,98.4,"['relu', 'relu', 'rrelu', 'leaky_relu', 'celu']","('max', 'max')"
373,0.014285714285714284,97.2736,98.4,"['relu', 'relu', 'rrelu', 'leaky_relu', 'leaky_relu']","('max', 'max')"
213,0.016666666666666666,96.5036,98.4,"['relu', 'relu', 'relu', 'celu', 'celu']","('max', 'avg')"
734,0.011764705882352941,97.7742,98.4,"['relu', 'leaky_relu', 'leaky_relu', 'celu', 'celu']","('avg', 'avg')"
1083,0.010526315789473684,97.8636,98.41,"['relu', 'relu', 'rrelu', 'rrelu', 'rrelu']","('max', 'max')"
1122,0.018182,96.5942,98.43,"['relu', 'relu', 'relu', 'relu', 'rrelu']","('max', 'avg')"
1036,0.010526315789473684,97.2974,98.43,"['relu', 'relu', 'relu', 'rrelu', 'leaky_relu']","('max', 'max')"
1001,0.010526315789473684,97.5258,98.43,"['relu', 'relu', 'relu', 'relu', 'rrelu']","('max', 'avg')"
508,0.013333333333333334,97.69200000000001,98.43,"['leaky_relu', 'leaky_relu', 'leaky_relu', 'leaky_relu', 'celu']","('max', 'avg')"
812,0.011764705882352941,97.6214,98.44,"['relu', 'relu', 'rrelu', 'leaky_relu', 'celu']","('avg', 'avg')"
907,0.011111111111111113,97.9746,98.44,"['leaky_relu', 'leaky_relu', 'leaky_relu', 'celu', 'celu']","('avg', 'avg')"
736,0.011764705882352941,97.2556,98.44,"['relu', 'relu', 'rrelu', 'leaky_relu', 'leaky_relu']","('max', 'max')"
629,0.0125,97.3074,98.45,"['leaky_relu', 'leaky_relu', 'leaky_relu', 'leaky_relu', 'celu']","('max', 'avg')"
1124,0.018182,97.6374,98.45,"['relu', 'relu', 'rrelu', 'celu', 'celu']","('avg', 'avg')"
976,0.010526315789473684,97.72200000000001,98.45,"['relu', 'leaky_relu', 'leaky_relu', 'celu', 'celu']","('avg', 'avg')"
872,0.011111111111111113,97.5166,98.47,"['relu', 'relu', 'rrelu', 'rrelu', 'celu']","('avg', 'avg')"
897,0.011111111111111113,97.6082,98.47,"['relu', 'relu', 'relu', 'rrelu', 'celu']","('max', 'avg')"
199,0.016666666666666666,97.3554,98.47,"['relu', 'leaky_relu', 'leaky_relu', 'leaky_relu', 'leaky_relu']","('max', 'avg')"
1201,0.018182,97.6726,98.47,"['relu', 'relu', 'leaky_relu', 'leaky_relu', 'celu']","('avg', 'avg')"
959,0.011111111111111113,97.8514,98.48,"['relu', 'relu', 'leaky_relu', 'leaky_relu', 'celu']","('max', 'max')"
615,0.0125,97.2838,98.49,"['relu', 'relu', 'rrelu', 'leaky_relu', 'leaky_relu']","('max', 'max')"
1028,0.010526315789473684,97.9654,98.49,"['leaky_relu', 'leaky_relu', 'leaky_relu', 'celu', 'celu']","('max', 'max')"
641,0.0125,97.2976,98.49,"['relu', 'relu', 'relu', 'relu', 'leaky_relu']","('avg', 'avg')"
1053,0.010526315789473684,97.6576,98.5,"['relu', 'leaky_relu', 'leaky_relu', 'leaky_relu', 'celu']","('max', 'avg')"
250,0.015384615384615384,97.7592,98.5,"['relu', 'leaky_relu', 'leaky_relu', 'celu', 'celu']","('avg', 'avg')"
992,0.010526315789473684,97.7068,98.5,"['leaky_relu', 'leaky_relu', 'leaky_relu', 'leaky_relu', 'celu']","('max', 'max')"
1045,0.010526315789473684,97.4974,98.51,"['relu', 'relu', 'relu', 'leaky_relu', 'celu']","('max', 'avg')"
505,0.013333333333333334,97.736,98.51,"['relu', 'relu', 'relu', 'relu', 'celu']","('max', 'avg')"
993,0.010526315789473684,97.381,98.52,"['relu', 'relu', 'rrelu', 'rrelu', 'celu']","('max', 'avg')"
142,0.016666666666666666,97.5232,98.52,"['relu', 'relu', 'relu', 'relu', 'celu']","('max', 'max')"
455,0.014285714285714284,97.6002,98.52,"['relu', 'relu', 'relu', 'celu', 'celu']","('avg', 'avg')"
645,0.0125,97.4254,98.53,"['relu', 'relu', 'leaky_relu', 'leaky_relu', 'leaky_relu']","('max', 'avg')"
70,0.018181818181818184,96.635,98.53,"['relu', 'relu', 'relu', 'leaky_relu', 'leaky_relu']","('max', 'avg')"
596,0.013333333333333334,97.8768,98.53,"['relu', 'relu', 'leaky_relu', 'leaky_relu', 'celu']","('avg', 'avg')"
448,0.014285714285714284,97.4294,98.54,"['relu', 'leaky_relu', 'leaky_relu', 'leaky_relu', 'celu']","('max', 'avg')"
157,0.016666666666666666,97.1206,98.54,"['relu', 'relu', 'relu', 'relu', 'leaky_relu']","('max', 'max')"
78,0.018181818181818184,97.3822,98.55,"['relu', 'leaky_relu', 'leaky_relu', 'leaky_relu', 'leaky_relu']","('avg', 'avg')"
24,0.018181818181818184,97.3068,98.55,"['leaky_relu', 'leaky_relu', 'leaky_relu', 'leaky_relu', 'celu']","('avg', 'avg')"
387,0.014285714285714284,98.0324,98.56,"['leaky_relu', 'leaky_relu', 'leaky_relu', 'leaky_relu', 'celu']","('max', 'max')"
62,0.018181818181818184,97.917,98.56,"['relu', 'relu', 'leaky_relu', 'celu', 'celu']","('avg', 'avg')"
33,0.018181818181818184,97.3358,98.56,"['relu', 'relu', 'relu', 'relu', 'rrelu']","('max', 'avg')"
524,0.013333333333333334,97.05,98.56,"['relu', 'relu', 'leaky_relu', 'leaky_relu', 'leaky_relu']","('avg', 'avg')"
431,0.014285714285714284,96.7652,98.56,"['relu', 'relu', 'relu', 'rrelu', 'leaky_relu']","('avg', 'avg')"
750,0.011764705882352941,97.3092,98.56,"['leaky_relu', 'leaky_relu', 'leaky_relu', 'leaky_relu', 'celu']","('avg', 'avg')"
804,0.011764705882352941,97.5684,98.57,"['relu', 'leaky_relu', 'leaky_relu', 'leaky_relu', 'leaky_relu']","('max', 'avg')"
1167,0.018182,97.3394,98.58,"['relu', 'leaky_relu', 'leaky_relu', 'leaky_relu', 'leaky_relu']","('max', 'avg')"
667,0.0125,97.9068,98.58,"['relu', 'relu', 'leaky_relu', 'celu', 'celu']","('max', 'max')"
883,0.011111111111111113,97.2584,98.58,"['relu', 'relu', 'relu', 'relu', 'leaky_relu']","('max', 'max')"
413,0.014285714285714284,97.6882,98.58,"['relu', 'relu', 'relu', 'rrelu', 'celu']","('avg', 'avg')"
1030,0.010526315789473684,97.6824,98.58,"['relu', 'relu', 'leaky_relu', 'celu', 'celu']","('max', 'max')"
263,0.015384615384615384,97.5728,98.59,"['relu', 'relu', 'relu', 'relu', 'celu']","('avg', 'avg')"
292,0.015384615384615384,97.1706,98.59,"['relu', 'relu', 'relu', 'rrelu', 'celu']","('avg', 'avg')"
1004,0.010526315789473684,97.3098,98.6,"['relu', 'relu', 'relu', 'relu', 'leaky_relu']","('avg', 'avg')"
282,0.015384615384615384,97.1118,98.6,"['relu', 'relu', 'leaky_relu', 'leaky_relu', 'leaky_relu']","('max', 'avg')"
534,0.013333333333333334,97.3398,98.6,"['relu', 'relu', 'relu', 'rrelu', 'celu']","('avg', 'avg')"
1110,0.018182,97.473,98.6,"['relu', 'relu', 'relu', 'relu', 'celu']","('avg', 'avg')"
1080,0.010526315789473684,97.8462,98.6,"['relu', 'relu', 'leaky_relu', 'leaky_relu', 'celu']","('max', 'max')"
796,0.011764705882352941,96.897,98.61,"['relu', 'relu', 'relu', 'leaky_relu', 'leaky_relu']","('avg', 'avg')"
570,0.013333333333333334,97.571,98.61,"['relu', 'relu', 'rrelu', 'leaky_relu', 'celu']","('avg', 'avg')"
1159,0.018182,96.9892,98.61,"['relu', 'relu', 'relu', 'leaky_relu', 'leaky_relu']","('max', 'avg')"
613,0.0125,97.8628,98.61,"['relu', 'leaky_relu', 'leaky_relu', 'celu', 'celu']","('max', 'avg')"
522,0.013333333333333334,97.5056,98.63,"['relu', 'relu', 'rrelu', 'rrelu', 'leaky_relu']","('avg', 'avg')"
233,0.016666666666666666,97.5912,98.64,"['relu', 'relu', 'leaky_relu', 'leaky_relu', 'celu']","('avg', 'avg')"
